customerID,name,DOB,gender,mailing address,contact person,phone numbers,education backgroud,marital status,job type,income,LegalServiceRequested
17914,Stella Collier,3/1/1995,female,"8104 Creekside St. Saint George, UT 84771",Jeremy Ingram,(431) 288-0035,master degree,married,admin,46936,Contracts
17936,Zackery Ware,1/26/1980,female,"9513 Lower River Dr. Salt Lake City, UT 84165",Lyla Berry,(240) 018-7535,bachelor degree,divorced,management,42059,work injury
17966,Mario Hernandez,1/20/1981,female,"291 Catherine St. Monroe, UT 84754",Karlee Gentry,(253) 831-5566,bachelor degree,married,management,46482,work injury
18149,Tessa Murillo,5/26/1982,female,"9 Lotus Street Salt Lake City, UT 84125",Rodolfo Trevino,(196) 508-5182,bachelor degree,married,sales,67642,intellectual property
18169,Marcelo Hutchinson,3/24/1944,male,"257 Pin Oak St. Midway, UT 84049",Helena Kline,(465) 404-8711,bachelor degree,married,retired,84062,medical settlement
18415,Marina Salas,5/15/1944,male,"69 East Bayberry Court Roosevelt, UT 84066",Dominique Kaiser,(430) 383-2518,bachelor degree,divorced,retired,83977,medical settlement
18715,Kinley Hays,11/14/1945,female,"463 Penn Street Eden, UT 84310",Calvin Alvarado,(957) 638-2344,bachelor degree,single,sales,72907,medical settlement
18798,Miya Tucker,7/18/1986,male,"115 Woodland St. Mexican Hat, UT 84531",Isabela Cisneros,(875) 565-1279,bachelor degree,single,sales,52885,Contracts
18990,Hanna Anderson,6/24/1992,female,"9836 Sussex St. Morgan, UT 84050",Aaron Mcgee,(948) 716-4452,master degree,single,student,44191,Contracts
18998,Braelyn Powell,5/24/1996,male,"981 W. Sugarplum Drive Brian Head, UT 84719",Humberto Gomez,(269) 347-1440,high school diploma,married,blue collar,27388,accident litigation
19014,Jaiden Wilkins,10/29/1944,male,"340 South Main St. Midway, UT 84049",Mallory Gilbert,(597) 983-5843,bachelor degree,married,retired,87741,medical settlement
19106,Kael Bauer,8/4/1980,male,"9480 National Ave. Hildale, UT 84784",Hayley Fuentes,(566) 161-8570,high school diploma,married,blue collar,56264,work injury
19185,Paige Dalton,8/9/1986,female,"55 Union CourtApt 69 Helper, UT 84526",Nash Kane,(912) 998-9690,master degree,divorced,management,106187,intellectual property
19285,Naima Brooks,2/12/1938,female,"805 North Amherst Drive Moroni, UT 84646",Felipe Mccann,(857) 479-7685,bachelor degree,single,retired,66349,medical settlement
19460,Ean Tyler,10/25/1982,female,"9747 Bay Meadows Drive Redmond, UT 84652",Adrianna Forbes,(788) 118-2864,doctoral degree,single,expert,99997,intellectual property
19561,Angeline Logan,9/14/1978,male,"19 High Point Ave. Leamington, UT 84638",Wade Barrera,(294) 075-6431,bachelor degree,married,blue collar,54817,work injury
19636,Eduardo Porter,9/11/1992,male,"134 Estate Ave. Elsinore, UT 84724",Jamiya Leblanc,(470) 906-3288,bachelor degree,single,sales,63763,Contracts
19722,Jonas Moore,7/20/1984,female,"87 S. Beach St. Saint George, UT 84791",Makenna Atkins,(247) 679-0881,master degree,divorced,admin,46464,Contracts
19749,Coby Booth,6/10/1983,male,"25 Fulton Ave. Salt Lake City, UT 84114",Richard Villa,(897) 126-7936,master degree,married,sales,57201,work injury
20196,Corey Leonard,7/12/1972,male,"80 Airport Court Provo, UT 84601",Chaim Rubio,(743) 879-9667,master degree,single,technician,126145,intellectual property
20304,Skyler Mckenzie,4/27/1977,male,"378 Wright Ave. Logan, UT 84323",Jared Wolf,(768) 790-7001,master degree,single,technician,129607,intellectual property
20311,Finley Nunez,2/20/1991,female,"7704 Crystal St. Salt Lake City, UT 84139",Damion Stewart,(168) 650-3503,master degree,divorced,technician,46829,Contracts
20329,Hamza Love,12/20/2000,male,"9832 Bridle Court Sevier, UT 84766",Sofia Peterson,(802) 725-5203,high school diploma,single,blue collar,27875,accident litigation
20467,Audrey Cobb,4/6/1941,male,"9369 Lower River Court Salt Lake City, UT 84132",Ellen Elliott,(174) 247-4886,bachelor degree,married,retired,90107,medical settlement
20825,Kennedy Patrick,1/31/1939,female,"3 Shadow Brook Avenue Lindon, UT 84042",Quinn Fuller,(156) 629-3785,bachelor degree,divorced,retired,87580,medical settlement
20846,Daniella Clements,12/13/1973,male,"719 Laurel Court Orem, UT 84057",Deven Giles,(732) 584-6288,master degree,divorced,technician,115277,intellectual property
20917,Abel Robinson,1/1/1935,female,"34 S. Parkview Street Lindon, UT 84042",Jocelyn Paul,(363) 077-2831,bachelor degree,divorced,retired,72778,medical settlement
21100,Giada Key,6/23/1989,female,"229 Rock Maple Rd. Alton, UT 84710",Elliott Fuller,(228) 620-1774,master degree,married,admin,43909,Contracts
21460,Carmen Stevenson,3/13/1977,male,"7182 Oakwood Lane Altamont, UT 84001",Reese Huff,(213) 301-3243,master degree,divorced,management,121251,intellectual property
21599,Lawrence Osborne,12/22/1947,male,"7920 Carpenter Road Willard, UT 84340",Braeden Hancock,(391) 969-2329,bachelor degree,single,retired,95450,medical settlement
21607,Yasmine Vargas,2/15/1939,female,"4 Littleton Dr. Fielding, UT 84311",Juliana Lindsey,(716) 388-8366,bachelor degree,single,admin,64118,medical settlement
21644,Bailee Hardin,5/29/1997,female,"8787 Rosewood St. Greenwich, UT 84732",Anika Frank,(544) 381-9162,bachelor degree,divorced,student,18792,accident litigation
21677,Anaya Delgado,6/11/1984,male,"13 Stillwater Drive Kaysville, UT 84037",Edgar Hogan,(438) 930-3846,bachelor degree,married,sales,57077,Contracts
22118,Ryann Livingston,1/2/1949,male,"780 Ash Street Talmage, UT 84073",Meadow Fischer,(339) 031-1211,bachelor degree,divorced,retired,81243,medical settlement
22357,Cesar Mullins,12/3/1982,female,"82 Dew St. Salt Lake City, UT 84108",Violet Sheppard,(990) 416-0553,doctoral degree,divorced,expert,115121,intellectual property
22483,Reginald Franklin,10/26/2001,male,"7643 Jade St. Providence, UT 84332",Malaki Kerr,(382) 424-3254,high school diploma,divorced,blue collar,29907,accident litigation
22487,Layla Robertson,8/24/1987,male,"3 Diamond Road Alton, UT 84710",Brooklyn Carr,(644) 340-5799,bachelor degree,married,sales,50860,Contracts
22667,Eliezer Love,4/10/1995,female,"105 Hazelnut St. Layton, UT 84041",Fernanda Mckee,(938) 954-3373,bachelor degree,married,student,27387,accident litigation
22706,Johnathon Gilbert,4/20/1972,male,"572 Ann St. Park Valley, UT 84329",Drake Fitzgerald,(856) 496-8559,master degree,divorced,technician,111937,intellectual property
22788,Hailee Green,7/12/1990,female,"67 Santa Clara Street Ogden, UT 84244",Willie Griffin,(368) 882-7696,master degree,divorced,admin,48687,Contracts
22985,Hamza Shannon,5/20/1997,male,"587 Coach Street Grouse Creek, UT 84313",Maia Weiss,(828) 772-5341,high school diploma,married,blue collar,28503,accident litigation
22990,Zoey Swanson,2/20/1980,female,"7389 Legend St. Bountiful, UT 84011",Jadyn Gaines,(171) 922-8102,bachelor degree,married,management,49724,work injury
23191,Kyleigh Case,9/2/1979,female,"27 Birch Hill St. Salt Lake City, UT 84145",Ashlynn Villegas,(731) 875-9014,doctoral degree,single,expert,106307,intellectual property
23509,Aidan Burns,6/27/1980,male,"3 North Hill Dr. Joseph, UT 84739",Alina Spears,(219) 456-4415,high school diploma,married,blue collar,58096,work injury
23837,Giovani Stuart,12/20/1981,female,"8 West Thorne St. Salt Lake City, UT 84131",Lyric Wallace,(818) 395-2952,doctoral degree,single,expert,66342,intellectual property
23875,Ayden Huffman,12/29/1983,male,"8984 Central St. Wellington, UT 84542",Terrell Ayala,(281) 654-0350,bachelor degree,single,sales,50323,Contracts
23885,Brooke Barnett,6/4/1996,female,"30 College St. Aneth, UT 84510",Alana Castro,(980) 347-6785,bachelor degree,divorced,student,25965,accident litigation
24024,Madelynn Lawrence,11/11/1938,male,"469 Richardson Drive Salt Lake City, UT 84122",Esperanza Peterson,(804) 449-1307,bachelor degree,single,retired,80015,medical settlement
24334,Danica Raymond,1/9/1990,female,"46 Circle St. Wales, UT 84667",Brandon Blanchard,(388) 654-1047,master degree,married,admin,39915,Contracts
24883,Delaney Rowe,5/3/1989,female,"5 Windfall Ave. Orem, UT 84058",Elliana Valdez,(474) 369-9467,bachelor degree,married,management,43331,work injury
25288,Laney Carroll,2/19/1941,female,"7839 Myers St. Ogden, UT 84244",Wayne Harding,(620) 582-3582,bachelor degree,married,retired,75704,medical settlement
25359,Omari Rocha,5/14/1985,male,"9920 E. Castle Street Lake Powell, UT 84533",Breanna Sanford,(894) 524-4510,high school diploma,single,blue collar,51760,work injury
25365,Carlee Mclaughlin,10/21/1941,male,"8990 Euclid St. Wales, UT 84667",Erin Watts,(955) 516-6718,bachelor degree,married,retired,82525,medical settlement
25524,Jerome Adkins,5/6/1997,female,"993 Prince Drive Loa, UT 84747",Gerald Wagner,(537) 380-0353,bachelor degree,married,student,33476,accident litigation
25559,Taniya Rivera,7/15/1991,female,"91 E. Myrtle St. Glenwood, UT 84730",Aryanna Camacho,(317) 866-3315,bachelor degree,divorced,blue collar,32642,accident litigation
25696,Tanya Hardin,8/4/1984,male,"7669 General St. Providence, UT 84332",Logan Aguilar,(653) 691-6849,bachelor degree,married,sales,63116,Contracts
25745,Jabari Salas,4/4/1998,male,"240 West Albany St. Salt Lake City, UT 84170",King Bradshaw,(496) 006-4051,high school diploma,divorced,blue collar,24306,accident litigation
25942,Travis Bryan,1/18/2000,male,"17 San Pablo St. Salt Lake City, UT 84131",Sylvia Oconnor,(175) 203-5295,high school diploma,divorced,blue collar,32191,accident litigation
26010,Grayson Acosta,3/10/1938,female,"9283 Sherman St. Annabella, UT 84711",Clarissa Mooney,(675) 368-8780,bachelor degree,married,retired,88287,medical settlement
26130,Reed Aguirre,10/26/1983,female,"534 Summit St. Sterling, UT 84665",Brooklyn Conway,(619) 935-4477,doctoral degree,single,expert,123434,intellectual property
26161,Cameron Hunt,7/25/1978,female,"7 S. Peace Avenue Axtell, UT 84621",Konnor Patterson,(466) 664-0362,bachelor degree,married,management,48105,work injury
26309,America Lam,4/18/1997,male,"788 Hill Ave. Morgan, UT 84050",Nick Mccoy,(309) 516-0866,high school diploma,divorced,blue collar,31581,accident litigation
26521,Luca Potts,1/29/1943,male,"149 Azure Court Salina, UT 84654",Edwin Norman,(424) 927-5468,bachelor degree,divorced,retired,87126,medical settlement
26784,Josue Mills,9/7/1938,female,"7 Theatre Rd. Woodruff, UT 84086",Damaris Pugh,(304) 090-5549,bachelor degree,single,retired,88586,medical settlement
26806,Leila Kelley,9/29/2000,male,"600 Haven Drive Richmond, UT 84333",Siena Zavala,(503) 701-3551,high school diploma,single,blue collar,25233,accident litigation
27000,Leandro Nixon,7/12/1947,male,"4 Lavender Road Honeyville, UT 84314",Anabella Arnold,(276) 184-2401,bachelor degree,divorced,retired,77772,medical settlement
27095,Erick Browning,10/12/1995,female,"66 Marconi Avenue Kanosh, UT 84637",Moriah Price,(491) 100-4368,bachelor degree,married,student,29998,accident litigation
27569,Clarissa Monroe,4/16/1946,male,"104 Brook Drive Draper, UT 84020",Addison Hoover,(766) 687-3107,bachelor degree,married,retired,78839,medical settlement
27984,Frederick Miranda,5/26/1989,male,"175 East School St. Altamont, UT 84001",Samir Forbes,(738) 545-4161,bachelor degree,divorced,sales,51418,Contracts
28100,June Marshall,12/22/1997,male,"7839 Big Rock Cove St. Sunnyside, UT 84539",Anastasia Knox,(265) 638-6232,high school diploma,married,blue collar,30924,accident litigation
28332,Scarlet Adkins,2/10/1941,female,"489 Birch Hill Court Lynndyl, UT 84640",Brady Young,(665) 981-9267,bachelor degree,married,retired,85992,medical settlement
28341,Harley Larsen,4/15/1994,female,"211 Boston Dr. Bonanza, UT 84008",Frida Owens,(799) 749-8921,bachelor degree,divorced,student,25621,accident litigation
28405,Brenna Mccall,7/14/1973,male,"9160 Cambridge St. Leamington, UT 84638",Anne Howard,(701) 812-7441,master degree,divorced,sales,127153,intellectual property
28505,Guillermo Eaton,1/2/1978,male,"9608 Champion Dr. Hyrum, UT 84319",Keith Gross,(197) 012-8969,master degree,divorced,technician,111549,intellectual property
28886,Kayden Harper,3/22/1942,male,"50 Whitemarsh Lane Orangeville, UT 84537",Aryana Matthews,(815) 106-5062,bachelor degree,divorced,retired,80599,medical settlement
28888,Brynlee Higgins,10/16/1999,male,"46 Galvin Ave. Sunnyside, UT 84539",Max Sutton,(639) 516-5373,high school diploma,divorced,blue collar,28197,accident litigation
28923,Jakob Mckenzie,5/18/1993,female,"9689 Lakeshore Dr. La Verkin, UT 84745",Billy Wagner,(782) 398-8668,bachelor degree,married,student,23377,accident litigation
29146,Jaxson Benton,1/9/1996,male,"343 Bayberry Street West Jordan, UT 84084",Lena Hinton,(150) 070-4695,high school diploma,single,blue collar,29606,accident litigation
29987,Will Gould,2/22/1996,female,"61 Augusta St. Salt Lake City, UT 84114",Donald Buchanan,(587) 474-3938,bachelor degree,single,student,25202,accident litigation
30023,Deangelo Marsh,7/12/1987,male,"63 North Cross St. Pine Valley, UT 84781",Sheldon Weiss,(356) 670-9484,bachelor degree,divorced,sales,57794,Contracts
30821,Abril Orozco,11/8/1937,female,"732 Sutor Lane Bryce, UT 84764",Nancy Floyd,(918) 604-7937,bachelor degree,married,retired,66972,medical settlement
31070,Maryjane Gibbs,4/3/1982,female,"846 Valley Ave. Salt Lake City, UT 84147",Janelle Rollins,(330) 211-3812,bachelor degree,divorced,blue collar,43114,work injury
31119,Paxton Shields,9/10/1983,female,"31 South Country St. Fountain Green, UT 84632",Maggie Hines,(446) 294-3598,bachelor degree,divorced,management,39250,work injury
31164,Jaylin Duncan,5/31/2000,male,"80 West Noble Street Provo, UT 84601",Lilian Davila,(595) 961-5034,high school diploma,single,blue collar,22834,accident litigation
31212,Jaime Sanford,2/1/1980,female,"8037 Upper Lane Sunnyside, UT 84539",Kamren Day,(788) 968-8874,bachelor degree,divorced,management,44046,work injury
31327,Cloe Oconnell,4/1/1973,male,"27 Beachside St. Ogden, UT 84415",Aedan Liu,(682) 286-7869,master degree,single,technician,119800,intellectual property
31344,Stanley Stuart,11/4/1986,female,"8864 Union Drive Salt Lake City, UT 84180",Grady Snow,(908) 063-2651,master degree,divorced,admin,50333,Contracts
31353,Annabel Terry,1/31/1940,female,"16 Estate Dr. Antimony, UT 84712",Saul Gentry,(735) 383-6207,bachelor degree,married,retired,68410,medical settlement
31498,Curtis Navarro,11/12/1980,female,"9188 Bloomfield Ave. Alpine, UT 84004",Ignacio Clay,(184) 061-5778,bachelor degree,divorced,management,38037,work injury
31836,Kian Whitaker,4/8/1977,male,"7555 Summer Ave. Salt Lake City, UT 84118",Maverick Shah,(165) 767-1901,master degree,divorced,technician,109567,intellectual property
32102,Haven Pollard,10/29/1986,male,"8204 Ashland Court Provo, UT 84603",Chloe Dalton,(103) 910-4504,bachelor degree,married,student,51355,Contracts
32279,Akira Carlson,7/17/1989,female,"843 W. Lookout Court Lynndyl, UT 84640",Avah Simmons,(728) 104-4778,master degree,divorced,admin,45968,Contracts
32389,Rhett Armstrong,10/11/1985,male,"7519 Coffee Street La Verkin, UT 84745",Dominik Hansen,(530) 586-3829,bachelor degree,single,sales,54639,Contracts
32441,Solomon George,11/22/1982,male,"8240 West Thomas St. Farmington, UT 84025",Talon Salas,(702) 476-8594,master degree,single,admin,59593,work injury
32479,Jax Estrada,5/16/1982,male,"10 Laurel Court Sandy, UT 84091",Jenna Goodman,(262) 442-8436,high school diploma,single,blue collar,49583,work injury
32716,Benjamin Winters,6/13/1947,male,"791 Rockwell Avenue Salt Lake City, UT 84139",Gabriella Norton,(135) 540-9201,bachelor degree,married,retired,88543,medical settlement
32737,Elizabeth Fischer,3/6/1986,male,"350 Gregory St. Tremonton, UT 84337",Isai Mcclain,(893) 824-7259,bachelor degree,divorced,sales,51213,Contracts
32935,Gael Leach,11/11/1981,male,"205 Myers Ave. Bicknell, UT 84715",Jaylyn Chandler,(289) 349-4673,high school diploma,single,blue collar,50167,work injury
32938,Alayna Kline,3/4/1991,female,"598 Auburn Dr. Logan, UT 84323",Sam Hernandez,(600) 066-5144,master degree,married,admin,48180,Contracts
33180,Keon Mcbride,6/22/1942,female,"8949 Rockcrest Ave. Salt Lake City, UT 84124",Amya May,(144) 670-2320,bachelor degree,married,admin,82214,medical settlement
33365,Miguel Turner,11/3/1984,male,"7543 Lower St. Ogden, UT 84244",Bronson Meyers,(316) 913-3948,bachelor degree,married,sales,49488,Contracts
33487,Harmony Ellis,4/23/1998,female,"72 W. Sugar St. Fairview, UT 84629",Kaleb Miranda,(184) 492-1089,bachelor degree,married,admin,17472,accident litigation
33518,Eden Boyd,3/12/1941,male,"7973 Senna Lane Dugway, UT 84022",Israel Mahoney,(821) 903-9721,bachelor degree,single,retired,70829,medical settlement
33603,Sammy Delgado,12/12/2000,male,"114 W. Littleton Avenue Eureka, UT 84628",Derek Bowen,(552) 368-6795,high school diploma,single,blue collar,21980,accident litigation
33742,Libby Bolton,11/10/1945,male,"354 Sheffield Dr. Orem, UT 84059",Lillian Steele,(562) 941-7427,bachelor degree,single,retired,68081,medical settlement
33956,Keyon Holder,12/10/1975,male,"624 Parker Lane Alpine, UT 84004",Angelo Harrington,(290) 586-8689,master degree,divorced,sales,120491,intellectual property
34384,Rowan Krause,5/1/1981,female,"9502 N. Delaware St.Apt 1 Salt Lake City, UT 84102",Jeremiah Porter,(200) 277-0310,doctoral degree,married,expert,138512,intellectual property
34481,Chaim Haley,6/23/1972,male,"9349 Hartford Rd. Salt Lake City, UT 84151",Julius Bradford,(808) 035-5528,master degree,divorced,technician,142486,intellectual property
34534,Raven Kerr,1/3/1987,female,"799 Granite Dr. Sandy, UT 84091",Harrison Day,(498) 395-6194,master degree,divorced,admin,44844,Contracts
34745,Aryanna Flowers,11/7/1980,female,"8032 Bright St. Cedar Valley, UT 84013",Talon Phelps,(905) 735-2550,bachelor degree,divorced,management,34852,work injury
34794,Albert Riddle,1/15/1940,female,"8394 Euclid Dr. Ogden, UT 84404",Anabella Montoya,(421) 151-7351,bachelor degree,divorced,retired,78061,medical settlement
35041,Josh Monroe,9/28/1980,male,"8575 Senna St. Laketown, UT 84038",Jayleen Whitney,(682) 993-5104,high school diploma,married,blue collar,55101,work injury
35125,Dax Stevenson,12/12/1975,male,"8 Iroquois Street Teasdale, UT 84773",Sophia Daniel,(857) 226-9087,master degree,divorced,technician,125961,intellectual property
35190,Mario Luna,9/19/1983,male,"7697 West Lily St. Park City, UT 84060",Ximena Kidd,(837) 802-5404,high school diploma,married,blue collar,60024,work injury
35234,Sheldon Rowe,10/21/1943,male,"8468 Leeton Ridge Drive Levan, UT 84639",Emiliano Weaver,(545) 935-8789,bachelor degree,single,retired,75894,medical settlement
36391,Leonardo Gomez,7/8/1984,female,"68 Manhattan Dr. Central, UT 84722",Kolton Chambers,(970) 684-1778,master degree,divorced,management,73941,intellectual property
36638,Arnav Houston,9/5/1987,male,"9703 Vista Dr. Huntsville, UT 84317",Messiah Pennington,(651) 644-0420,bachelor degree,divorced,blue collar,48821,Contracts
36668,Dylan Harmon,9/29/1988,male,"6 South Yew Dr. Cannonville, UT 84718",Gavyn Ball,(288) 118-7799,bachelor degree,single,blue collar,52370,Contracts
36713,Jaelyn Mckay,7/8/1979,female,"499 Pennington Street Salt Lake City, UT 84126",Miriam Whitehead,(800) 640-0525,bachelor degree,single,technician,49335,work injury
36805,Chana Garrett,11/19/1978,female,"8592 Sapphire Dr. Salt Lake City, UT 84111",Izabella Livingston,(819) 872-9445,bachelor degree,single,management,51310,work injury
36810,Karina Carter,7/2/1976,female,"36 West Gonzales Street Lewiston, UT 84320",Eileen Jensen,(112) 160-3904,doctoral degree,single,expert,66808,intellectual property
37011,Kobe Craig,7/19/1998,male,"8262 Lawn Dr. Chester, UT 84623",Kevin Lara,(794) 249-4139,high school diploma,divorced,blue collar,27411,accident litigation
37181,Ryder Davila,11/9/1997,male,"465 Marsh Ave. Orem, UT 84057",Emilia Romero,(808) 148-6284,high school diploma,married,blue collar,24911,accident litigation
37271,Sara Villegas,8/25/1986,male,"9439 Sussex St. Vernal, UT 84078",Adan Mckay,(151) 219-7897,bachelor degree,single,sales,62075,Contracts
37284,Cailyn Ayers,1/24/1976,female,"42 Lafayette Drive Sandy, UT 84094",Kyson Zhang,(754) 224-2063,doctoral degree,married,expert,103547,intellectual property
37668,Reed Ho,6/26/1988,male,"9357 Sunny Dr. Duchesne, UT 84021",Julia Vang,(138) 413-7586,bachelor degree,married,student,54798,Contracts
37801,Alexus Osborn,7/13/1932,female,"18 Amber Lane Providence, UT 84332",Jacey Bartlett,(441) 484-5592,bachelor degree,single,retired,64358,medical settlement
37842,Michael Austin,7/22/1986,male,"308 Tailwater Dr. Orem, UT 84097",Matthew Cuevas,(738) 130-4916,bachelor degree,divorced,sales,58020,Contracts
37938,Aiyana Cox,1/14/1980,female,"298 Westminster Ave. Jensen, UT 84035",Mattie Dunlap,(111) 521-3773,bachelor degree,single,management,50996,work injury
37948,Aliyah Martinez,8/2/1987,female,"472 Gilded St. Logan, UT 84322",Giada Mcgrath,(722) 129-5675,bachelor degree,married,sales,87206,intellectual property
38059,Jakobe Branch,7/19/1986,male,"709 SE. Azure Lane Portage, UT 84331",Pamela Stanton,(527) 711-1391,bachelor degree,divorced,student,48585,Contracts
38338,Finn Ortega,3/17/1941,female,"7830 Duke Street Salt Lake City, UT 84148",Kelsie Vaughn,(464) 869-9413,bachelor degree,divorced,management,71458,medical settlement
38598,Amelie Mcgrath,11/16/1976,male,"3 Wrangler Rd. Lapoint, UT 84039",Luciana Mcknight,(201) 181-6163,master degree,divorced,management,125022,intellectual property
